id	title	locations	start_year	start_month	start_day	end_year	end_month	end_day	start_expr	end_expr	calendar	uncertainty_years	category	infobox_type	description	tags
china-pre-imperial	Pre-Imperial China	[]	-2070	0	0	-221	0	0	c. 2070 BCE (traditional start of Xia Dynasty)	221 BCE (Qin unification)	gregorian	200	historical_period	manual	The long era before China's political unification, encompassing the legendary dynasties, early Bronze Age states, and the fractured but culturally formative Zhou period.	["china-history","manual-extraction","no-coords-found"]
china-imperial	Imperial China	[]	-221	0	0	1912	0	0	221 BCE (Qin unification)	1912 CE (fall of Qing Dynasty)	gregorian	0	historical_period	manual	More than two millennia of continuous imperial rule under successive dynasties, characterised by a Confucian bureaucratic state, the examination system, and expanding territorial and cultural influence.	["china-history","manual-extraction","no-coords-found"]
china-three-sovereigns	Three Sovereigns and Five Emperors	[]	-2852	0	0	-2070	0	0	c. 2852 BCE (traditional)	c. 2070 BCE (traditional)	gregorian	400	historical_period	manual	Legendary prehistoric rulers credited in Chinese mythology with teaching humanity agriculture, writing, medicine, and statecraft; considered the cultural founders of Chinese civilization.	["china-history","manual-extraction","no-coords-found"]
china-xia	Xia Dynasty	[]	-2070	0	0	-1600	0	0	c. 2070 BCE	c. 1600 BCE	gregorian	200	historical_period	manual	The first dynasty in traditional Chinese historiography, semi-legendary but associated with early Bronze Age sites in the Yellow River valley; overthrown by the Shang.	["china-history","manual-extraction","no-coords-found"]
china-shang	Shang Dynasty	[]	-1600	0	0	-1046	0	0	c. 1600 BCE	1046 BCE	gregorian	50	historical_period	manual	The first historically attested Chinese dynasty, known for oracle bone writing, advanced bronze casting, and walled cities centred on the Yellow River plain.	["china-history","manual-extraction","no-coords-found"]
china-western-zhou	Western Zhou	[]	-1046	0	0	-771	0	0	1046 BCE	771 BCE (sack of Hao by nomads)	gregorian	5	historical_period	manual	The formative phase of Zhou rule, during which feudal lords owed allegiance to the Zhou king; Confucian tradition later idealised this era as a golden age of ritual and virtue.	["china-history","manual-extraction","no-coords-found"]
china-spring-autumn	Spring and Autumn Period	[]	-770	0	0	-476	0	0	770 BCE (Eastern Zhou begins)	476 BCE	gregorian	5	historical_period	manual	An era of weakening royal authority and rising regional powers named after the chronicle of the state of Lu; Confucius, Laozi, and Sunzi lived during this period.	["china-history","manual-extraction","no-coords-found"]
china-warring-states	Warring States Period	[]	-475	0	0	-221	0	0	475 BCE	221 BCE (Qin conquest complete)	gregorian	5	historical_period	manual	A period of intensifying warfare among seven major states that developed mass conscript armies, iron technology, and radical political philosophies including Legalism; ended by Qin's decisive conquest.	["china-history","manual-extraction","no-coords-found"]
china-qin	Qin Dynasty	[]	-221	0	0	-206	0	0	221 BCE (first emperor Qin Shi Huang)	206 BCE	gregorian	0	historical_period	manual	China's first unified empire, which standardised weights, measures, currency, and script, began the Great Wall, and built the Terracotta Army — but collapsed within fifteen years of its founder's death.	["china-history","manual-extraction","no-coords-found"]
china-western-han	Western Han	[]	-206	0	0	9	0	0	206 BCE (Liu Bang defeats Xiang Yu)	9 CE (Wang Mang usurps throne)	gregorian	0	historical_period	manual	A long era of expansion and consolidation under the Han emperors, marked by the Silk Road trade, Confucian state orthodoxy, and military campaigns against the Xiongnu nomads.	["china-history","manual-extraction","no-coords-found"]
