id	title	locations	start_year	start_month	start_day	end_year	end_month	end_day	start_expr	end_expr	calendar	uncertainty_years	category	infobox_type	description	tags
peru-norte-chico	Norte Chico / Caral Civilization	[]	-3000	0	0	-1800	0	0	c. 3000 BCE	c. 1800 BCE	gregorian	200	historical_period	manual	One of the oldest known complex societies in the Americas, centered in coastal river valleys north of Lima; built monumental platform mounds and had sophisticated irrigation but no known writing or ceramics.	["peru-history","manual-extraction","no-coords-found"]
peru-chavin	Chavín Culture	[]	-900	0	0	-200	0	0	c. 900 BCE	c. 200 BCE	gregorian	100	historical_period	manual	An influential cultural and religious horizon centred on the highland site of Chavín de Huántar; its distinctive jaguar-serpent iconography spread across much of the central Andes.	["peru-history","manual-extraction","no-coords-found"]
peru-paracas	Paracas Culture	[]	-800	0	0	100	0	0	c. 800 BCE	c. 100 CE	gregorian	100	historical_period	manual	A coastal culture on the Paracas Peninsula known for extraordinary textile weaving, trepanation, and elaborate funerary bundles; preceded and influenced the Nazca culture.	["peru-history","manual-extraction","no-coords-found"]
peru-nazca	Nazca Culture	[]	-100	0	0	800	0	0	c. 100 BCE	c. 800 CE	gregorian	100	historical_period	manual	A southern coastal culture famous for the Nazca Lines — vast geoglyphs etched into the desert — as well as polychrome pottery and extensive underground aqueducts (puquios).	["peru-history","manual-extraction","no-coords-found"]
peru-moche	Moche Culture	[]	100	0	0	700	0	0	c. 100 CE	c. 700 CE	gregorian	75	historical_period	manual	A northern coastal state-level society with monumental adobe pyramids, sophisticated irrigation, and highly realistic portrait ceramics; collapsed possibly due to prolonged El Niño drought events.	["peru-history","manual-extraction","no-coords-found"]
peru-tiwanaku	Tiwanaku	[]	300	0	0	1000	0	0	c. 300 CE	c. 1000 CE	gregorian	100	historical_period	manual	A highland city-state centered near Lake Titicaca that became a major Andean religious and political centre; its raised-field agriculture and iconography spread across the southern Andes.	["peru-history","manual-extraction","no-coords-found"]
peru-wari	Wari Empire	[]	600	0	0	1100	0	0	c. 600 CE	c. 1100 CE	gregorian	100	historical_period	manual	The first Andean empire, spreading from Ayacucho via a road network and administrative colonies; it introduced urban planning and state-level organisation to much of the Andes before its unexplained collapse.	["peru-history","manual-extraction","no-coords-found"]
peru-chimu	Chimu Kingdom	[]	900	0	0	1470	0	0	c. 900 CE	1470 CE (Inca conquest)	gregorian	75	historical_period	manual	The largest pre-Inca state on the Pacific coast, centred on the vast adobe city of Chan Chan; known for sophisticated goldsmithing and irrigation, it was conquered by the expanding Inca Empire.	["peru-history","manual-extraction","no-coords-found"]
peru-inca	Inca Empire	[]	1438	0	0	1533	0	0	c. 1438 CE (Pachacuti's conquests begin)	1533 CE (Atahualpa executed by Pizarro)	gregorian	5	historical_period	manual	The largest empire in pre-Columbian America, stretching from Colombia to Chile and connected by thousands of kilometres of roads; the state managed resources through mit'a labour tribute rather than money.	["peru-history","manual-extraction","no-coords-found"]
peru-conquest	Spanish Conquest of Peru	[]	1532	0	0	1572	0	0	1532 CE (Pizarro's expedition enters Cajamarca)	1572 CE (execution of Túpac Amaru I, last Inca ruler)	gregorian	0	historical_period	manual	Francisco Pizarro's small force captured and executed Inca emperor Atahualpa in 1532; subsequent decades saw Spanish consolidation, destruction of Inca institutions, and the neo-Inca resistance at Vilcabamba.	["peru-history","manual-extraction","no-coords-found"]
peru-viceroyalty	Viceroyalty of Peru	[]	1542	0	0	1824	0	0	1542 CE (viceroyalty established)	1824 CE (Battle of Ayacucho)	gregorian	0	historical_period	manual	Spain's largest South American colonial domain, centered on Lima; it administered most of South America for nearly three centuries and was the primary source of silver extracted at Potosí.	["peru-history","manual-extraction","no-coords-found"]
peru-independence	Peruvian War of Independence	[]	1810	0	0	1824	0	0	1810 CE (independence movements across South America)	1824 CE (Battle of Ayacucho ends Spanish rule)	gregorian	0	historical_period	manual	Peru was among the last Spanish colonies to achieve independence; San Martín proclaimed independence in 1821, and Simón Bolívar's forces decisively defeated the Spanish royalists at Ayacucho in 1824.	["peru-history","manual-extraction","no-coords-found"]
peru-republic	Republic of Peru	[]	1821	0	0	2026	0	0	1821 CE (independence proclaimed)	present	gregorian	0	historical_period	manual	The modern Peruvian state has experienced alternating periods of democratic and authoritarian rule, border conflicts, economic turbulence, and the Shining Path insurgency; economic growth since the 2000s has reduced poverty substantially.	["peru-history","manual-extraction","no-coords-found"]
