id	title	locations	start_year	start_month	start_day	end_year	end_month	end_day	start_expr	end_expr	calendar	uncertainty_years	category	infobox_type	description	tags
west-africa-nok	Nok Culture	[]	-1000	0	0	300	0	0	c. 1000 BCE	c. 300 CE	gregorian	150	historical_period	manual	An iron-smelting culture in central Nigeria famous for its terracotta figurines — the earliest known large-scale sculpture in sub-Saharan Africa — and for introducing iron technology to the region.	["west-africa-history","manual-extraction","no-coords-found"]
west-africa-djenne-djenno	Djenné-Djenno	[]	-250	0	0	1400	0	0	c. 250 BCE	c. 1400 CE (abandoned)	gregorian	50	historical_period	manual	One of the earliest known cities in sub-Saharan Africa, located on an island in the Niger River delta; it predates the Arab-influenced cities of the Sahel and shows indigenous urban development with extensive long-distance trade.	["west-africa-history","manual-extraction","no-coords-found"]
west-africa-trans-saharan	Trans-Saharan Trade Era	[]	800	0	0	1600	0	0	c. 800 CE (Ghana Empire peak)	c. 1600 CE (Atlantic trade supersedes overland routes)	gregorian	50	historical_period	manual	The height of overland commerce crossing the Sahara, exchanging West African gold, salt, and enslaved people for North African and Mediterranean goods; the wealth it generated built the great Sahelian empires.	["west-africa-history","manual-extraction","no-coords-found"]
west-africa-ghana-empire	Ghana Empire	[]	300	0	0	1235	0	0	c. 300 CE (traditional founding)	1235 CE (Mali conquest under Sundiata)	gregorian	100	historical_period	manual	The first of the great Sahelian empires, controlling the gold and salt trade across the western Sahara from its capital Koumbi Saleh; its power attracted Arab geographers and eventually Islamic conquest pressure.	["west-africa-history","manual-extraction","no-coords-found"]
west-africa-kanem-bornu	Kanem-Bornu Empire	[]	700	0	0	1900	0	0	c. 700 CE (Kanem state forms)	c. 1900 CE (absorbed by colonial powers)	gregorian	50	historical_period	manual	A remarkably long-lived empire centred on Lake Chad that converted to Islam in the eleventh century and survived over a millennium of dynastic changes, migrations, and external pressures before colonisation.	["west-africa-history","manual-extraction","no-coords-found"]
west-africa-mali-empire	Mali Empire	[]	1235	0	0	1600	0	0	1235 CE (Sundiata Keita defeats Sosso)	c. 1600 CE (fragmentation complete)	gregorian	20	historical_period	manual	The most powerful medieval West African empire, which controlled the gold and salt trade and at its height extended from the Atlantic coast to Timbuktu; Mansa Musa's 1324 pilgrimage to Mecca famously distributed so much gold it depressed prices across the Mediterranean.	["west-africa-history","manual-extraction","no-coords-found"]
west-africa-songhai	Songhai Empire	[]	1430	0	0	1591	0	0	c. 1430 CE (Sunni Ali begins expansion)	1591 CE (Moroccan army defeats Songhai at Tondibi)	gregorian	10	historical_period	manual	The largest empire in West African history, controlling the middle Niger and the great cities of Timbuktu, Djenné, and Gao; its fall to a Moroccan musket-armed invasion opened the region to decades of instability.	["west-africa-history","manual-extraction","no-coords-found"]
west-africa-jolof	Jolof Empire	[]	1350	0	0	1549	0	0	c. 1350 CE	1549 CE (Battle of Danki; empire fragments)	gregorian	25	historical_period	manual	A Wolof state on the Senegambian coast that unified several kingdoms under a paramount ruler; its fragmentation coincided with the arrival of Portuguese traders who offered coastal states direct access to Atlantic commerce.	["west-africa-history","manual-extraction","no-coords-found"]
west-africa-benin	Benin Kingdom	[]	1180	0	0	1897	0	0	c. 1180 CE (Eweka I founds Oba dynasty)	1897 CE (British Punitive Expedition)	gregorian	30	historical_period	manual	A powerful Edo kingdom in southern Nigeria renowned for its sophisticated bronze casting, coral-beaded court regalia, and extensive system of defensive earthworks; the kingdom's treasures were looted by British forces in 1897.	["west-africa-history","manual-extraction","no-coords-found"]
west-africa-oyo	Oyo Empire	[]	1400	0	0	1836	0	0	c. 1400 CE (founded)	1836 CE (capital sacked; empire dissolves)	gregorian	25	historical_period	manual	A Yoruba empire that became the dominant power in the western Sudan and coastal region, built on cavalry and long-distance trade; it played a significant role in the Atlantic slave trade before collapsing under Fulani pressure.	["west-africa-history","manual-extraction","no-coords-found"]
west-africa-atlantic-slave-trade	Atlantic Slave Trade	[]	1500	0	0	1807	0	0	c. 1500 CE (Portuguese begin large-scale trade)	1807 CE (British abolition of the trade)	gregorian	20	historical_period	manual	European merchants transported an estimated 12 million enslaved Africans across the Atlantic; West Africa was the primary source region, profoundly disrupting states, fuelling warfare, and reshaping the demographic and political landscape of the region.	["west-africa-history","manual-extraction","no-coords-found"]
west-africa-dahomey	Kingdom of Dahomey	[]	1600	0	0	1894	0	0	c. 1600 CE	1894 CE (French colonial conquest)	gregorian	20	historical_period	manual	A centralised Fon kingdom in present-day Benin known for its military prowess — including the all-female Agojie warriors — its palace art, and its prominent participation in and eventual resistance to the Atlantic slave trade.	["west-africa-history","manual-extraction","no-coords-found"]
west-africa-ashanti	Ashanti Empire	[]	1701	0	0	1902	0	0	1701 CE (Osei Tutu founds confederacy; Golden Stool legend)	1902 CE (British annexation after final war)	gregorian	0	historical_period	manual	A powerful Akan state in present-day Ghana whose wealth derived from gold and kola trade; its military confederation successfully resisted multiple British invasions before being incorporated into the Gold Coast colony.	["west-africa-history","manual-extraction","no-coords-found"]
west-africa-sokoto	Sokoto Caliphate	[]	1804	0	0	1903	0	0	1804 CE (Usman dan Fodio launches jihad)	1903 CE (British conquest of Sokoto)	gregorian	0	historical_period	manual	A large Fulani Islamic state established through a series of reformist jihads across the central Sahel; at its height it was the largest state in Africa south of the Sahara and one of the most populous Islamic states in the world.	["west-africa-history","manual-extraction","no-coords-found"]
west-africa-colonial	Colonial Period	[]	1880	0	0	1960	0	0	c. 1880 CE (Scramble for Africa intensifies)	1960 CE (Year of Africa; most colonies gain independence)	gregorian	5	historical_period	manual	European powers — primarily Britain, France, and Portugal — partitioned West Africa following the 1884–85 Berlin Conference; colonial rule imposed new borders, extracted resources, and restructured economies, creating lasting political and social legacies.	["west-africa-history","manual-extraction","no-coords-found"]
west-africa-independence	Post-Independence Era	[]	1957	0	0	2026	0	0	1957 CE (Ghana becomes first sub-Saharan colony to gain independence)	present	gregorian	0	historical_period	manual	Beginning with Ghana's independence under Kwame Nkrumah, West African nations gained sovereignty through the 1960s; the era has been marked by nation-building, military coups, resource wealth, rapid population growth, and the ongoing development of regional institutions such as ECOWAS.	["west-africa-history","manual-extraction","no-coords-found"]
