id	title	locations	start_year	start_month	start_day	end_year	end_month	end_day	start_expr	end_expr	calendar	uncertainty_years	category	infobox_type	description	tags
mesopotamia-ubaid	Ubaid Period	[]	-6500	0	0	-3800	0	0	c. 6500 BCE	c. 3800 BCE (Uruk period begins)	gregorian	300	historical_period	manual	A prehistoric cultural horizon spread across Mesopotamia characterised by painted pottery, the first known temples on mud-brick platforms, and early agricultural villages that prefigured the Sumerian city-states.	["mesopotamia-history","manual-extraction","no-coords-found"]
mesopotamia-uruk	Uruk Period	[]	-4000	0	0	-3100	0	0	c. 4000 BCE	c. 3100 BCE	gregorian	200	historical_period	manual	The world's first urban civilisation emerged at Uruk (Warka), which grew to perhaps 50,000 inhabitants; this period produced the earliest writing (proto-cuneiform), cylinder seals, and monumental temples.	["mesopotamia-history","manual-extraction","no-coords-found"]
mesopotamia-jemdet-nasr	Jemdet Nasr Period	[]	-3100	0	0	-2900	0	0	c. 3100 BCE	c. 2900 BCE	gregorian	50	historical_period	manual	A transitional phase between the Uruk and Early Dynastic periods, during which cuneiform writing expanded and multi-city administrative networks developed across southern Mesopotamia.	["mesopotamia-history","manual-extraction","no-coords-found"]
mesopotamia-early-dynastic	Early Dynastic Period	[]	-2900	0	0	-2350	0	0	c. 2900 BCE	2334 BCE (Sargon founds Akkadian Empire)	gregorian	50	historical_period	manual	Sumerian city-states — Ur, Lagash, Uruk, Nippur — competed for hegemony; the Royal Tombs of Ur date to this era, as does the Epic of Gilgamesh's earliest strands and the emergence of professional armies.	["mesopotamia-history","manual-extraction","no-coords-found"]
mesopotamia-akkadian	Akkadian Empire	[]	-2334	0	0	-2154	0	0	2334 BCE (Sargon of Akkad)	2154 BCE (Gutian invasions; empire collapses)	gregorian	10	historical_period	manual	The world's first recorded empire, created by Sargon of Akkad, who conquered all Mesopotamia and parts of Syria and Anatolia; his daughter Enheduanna is the world's first named author.	["mesopotamia-history","manual-extraction","no-coords-found"]
mesopotamia-gutian	Gutian Interlude	[]	-2154	0	0	-2112	0	0	2154 BCE (Gutian invasions)	2112 BCE (Third Dynasty of Ur founded)	gregorian	10	historical_period	manual	A poorly documented period of Gutian dominance from the Zagros Mountains following the Akkadian collapse; Sumerian cities recovered gradually and power shifted between regional centres.	["mesopotamia-history","manual-extraction","no-coords-found"]
mesopotamia-ur-iii	Third Dynasty of Ur	[]	-2112	0	0	-2004	0	0	2112 BCE (Ur-Nammu founds Ur III)	2004 BCE (Amorite and Elamite invasions)	gregorian	5	historical_period	manual	A Neo-Sumerian renaissance under Ur-Nammu and Shulgi that produced the world's oldest known law code, an elaborate bureaucratic state, and literary compositions that defined the Sumerian canon.	["mesopotamia-history","manual-extraction","no-coords-found"]
mesopotamia-old-babylonian	Old Babylonian Period	[]	-2000	0	0	-1595	0	0	c. 2000 BCE (Isin-Larsa period; Amorite dynasties)	1595 BCE (Hittite sack of Babylon)	gregorian	50	historical_period	manual	Hammurabi of Babylon (r. 1792–1750 BCE) unified Mesopotamia and issued the famous law code; the period also saw the composition of Gilgamesh in near-final form and sophisticated mathematics.	["mesopotamia-history","manual-extraction","no-coords-found"]
mesopotamia-kassite	Kassite Babylonia	[]	-1595	0	0	-1155	0	0	1595 BCE (Kassites take Babylon)	1155 BCE (Elamites remove Kassite king)	gregorian	20	historical_period	manual	A Kassite dynasty from the Zagros ruled Babylon for over four centuries — the longest-lived Babylonian dynasty — maintaining Sumero-Akkadian traditions while developing extensive international diplomacy with Egypt and the Hittites.	["mesopotamia-history","manual-extraction","no-coords-found"]
mesopotamia-middle-assyrian	Middle Assyrian Period	[]	-1365	0	0	-912	0	0	1365 BCE (Ashur-uballit I expands Assyrian power)	912 BCE (Neo-Assyrian Empire conventionally begins)	gregorian	10	historical_period	manual	Assyria emerged as a major power rivalling the Hittites and Mitanni; Middle Assyrian law codes survive from this era, and the state developed the administrative and military traditions the Neo-Assyrian Empire would perfect.	["mesopotamia-history","manual-extraction","no-coords-found"]
