id	title	locations	start_year	start_month	start_day	end_year	end_month	end_day	start_expr	end_expr	calendar	uncertainty_years	category	infobox_type	description	tags
rome-kingdom	Roman Kingdom	[]	-753	0	0	-509	0	0	753 BCE (traditional founding of Rome)	509 BCE (Tarquin the Proud expelled)	gregorian	50	historical_period	manual	The legendary and early historical period of Rome's foundation under seven kings; while later Romans mythologised this era, archaeological evidence confirms a growing city and emerging Latin culture on the Tiber.	["rome-history","manual-extraction","no-coords-found"]
rome-republic	Roman Republic	[]	-509	0	0	-27	0	0	509 BCE (republic established)	27 BCE (Augustus becomes first emperor)	gregorian	0	historical_period	manual	The era of senatorial governance, citizen militias, and territorial expansion from a city-state to a Mediterranean empire; ended by a century of civil wars that ultimately produced the principate.	["rome-history","manual-extraction","no-coords-found"]
rome-early-republic	Early Roman Republic	[]	-509	0	0	-264	0	0	509 BCE	264 BCE (First Punic War begins)	gregorian	0	historical_period	manual	The formative republican period during which Rome unified the Italian peninsula through a combination of conquest and alliance; the Struggle of the Orders gradually extended political rights to plebeians.	["rome-history","manual-extraction","no-coords-found"]
rome-middle-republic	Middle Roman Republic	[]	-264	0	0	-133	0	0	264 BCE	133 BCE (tribunate of Tiberius Gracchus)	gregorian	0	historical_period	manual	Rome fought and won the Punic Wars against Carthage, conquered Greece and the Hellenistic east, and emerged as the dominant Mediterranean power; vast new wealth strained the traditional social order.	["rome-history","manual-extraction","no-coords-found"]
rome-late-republic	Late Roman Republic	[]	-133	0	0	-27	0	0	133 BCE	27 BCE (Octavian receives title Augustus)	gregorian	0	historical_period	manual	Decades of political crisis — the Gracchi, Marius, Sulla, Caesar, and the triumvirates — as the senatorial system failed to manage an empire, culminating in Julius Caesar's assassination and the final civil war.	["rome-history","manual-extraction","no-coords-found"]
rome-empire	Roman Empire	[]	-27	0	0	476	0	0	27 BCE (Augustus)	476 CE (Romulus Augustulus deposed, Western Empire)	gregorian	0	historical_period	manual	Five centuries of imperial rule over a vast multi-ethnic state spanning from Britain to Mesopotamia; it produced Roman law, the Latin language, widespread urbanisation, and ultimately the spread of Christianity.	["rome-history","manual-extraction","no-coords-found"]
rome-principate	Principate	[]	-27	0	0	284	0	0	27 BCE (Augustus)	284 CE (Diocletian reorganises as Dominate)	gregorian	0	historical_period	manual	The first phase of the empire, in which emperors maintained the republican façade while holding ultimate power; the Julio-Claudian, Flavian, and Antonine dynasties are the most celebrated.	["rome-history","manual-extraction","no-coords-found"]
rome-pax-romana	Pax Romana	[]	-27	0	0	180	0	0	27 BCE (Augustus)	180 CE (death of Marcus Aurelius)	gregorian	0	historical_period	manual	Roughly two centuries of relative peace, prosperity, and stability across most of the empire under Augustus and the five Good Emperors; the Roman road network, aqueducts, and legal system flourished.	["rome-history","manual-extraction","no-coords-found"]
rome-crisis-third-century	Crisis of the Third Century	[]	235	0	0	284	0	0	235 CE (assassination of Alexander Severus)	284 CE (Diocletian stabilises)	gregorian	0	historical_period	manual	Near-collapse of the empire: fifty years of military anarchy, barbarian invasions, plague, and economic disruption saw over twenty emperors claim power, many assassinated within months of accession.	["rome-history","manual-extraction","no-coords-found"]
rome-dominate	Dominate	[]	284	0	0	476	0	0	284 CE (Diocletian's reforms)	476 CE (fall of Western Roman Empire)	gregorian	0	historical_period	manual	Diocletian and Constantine reorganised the empire with an overtly autocratic style, the Tetrarchy, a new capital at Constantinople, and Christianisation; the Western half progressively fragmented under barbarian pressure.	["rome-history","manual-extraction","no-coords-found"]
rome-western	Western Roman Empire	[]	395	0	0	476	0	0	395 CE (death of Theodosius I; formal division)	476 CE (Odoacer deposes Romulus Augustulus)	gregorian	0	historical_period	manual	The last decades of Roman rule in the west, plagued by invasions of Visigoths, Vandals, Huns, and other peoples; the final emperor was a teenager deposed without ceremony by a barbarian general.	["rome-history","manual-extraction","no-coords-found"]
rome-eastern	Eastern Roman Empire	[]	395	0	0	1453	0	0	395 CE (formal division)	1453 CE (Ottoman conquest of Constantinople)	gregorian	0	historical_period	manual	The continuation of the Roman Empire in the east, known to historians as the Byzantine Empire; it preserved Roman law and Greek culture, repelled many invasions, and finally fell to the Ottoman Turks after a millennium of survival.	["rome-history","manual-extraction","no-coords-found"]
