id	title	locations	start_year	start_month	start_day	end_year	end_month	end_day	start_expr	end_expr	calendar	uncertainty_years	category	infobox_type	description	tags
egypt-predynastic	Predynastic Egypt	[]	-6000	0	0	-3100	0	0	c. 6000 BCE	c. 3100 BCE (Narmer unifies Egypt)	gregorian	500	historical_period	manual	The prehistoric period during which farming communities developed along the Nile, producing early pottery, trade networks, and the proto-writing and symbolic vocabulary that foreshadowed dynastic civilization.	["egypt-history","manual-extraction","no-coords-found"]
egypt-early-dynastic	Early Dynastic Period	[]	-3100	0	0	-2686	0	0	c. 3100 BCE (unification under Narmer)	c. 2686 BCE (Old Kingdom begins)	gregorian	50	historical_period	manual	The founding phase of pharaonic Egypt following Narmer's unification; the state apparatus, hieroglyphic writing, and the concept of divine kingship were consolidated under the first two dynasties.	["egypt-history","manual-extraction","no-coords-found"]
egypt-old-kingdom	Old Kingdom	[]	-2686	0	0	-2181	0	0	c. 2686 BCE (Dynasty 3)	c. 2181 BCE (central authority collapses)	gregorian	30	historical_period	manual	The pyramid-building age, during which the great complexes at Giza and Saqqara were constructed; centralised royal power and a highly organised state administration reached their first peak.	["egypt-history","manual-extraction","no-coords-found"]
egypt-first-intermediate	First Intermediate Period	[]	-2181	0	0	-2055	0	0	c. 2181 BCE	c. 2055 BCE (Middle Kingdom reunification)	gregorian	20	historical_period	manual	A period of fragmentation when central pharaonic authority collapsed and regional governors competed for power; traditionally associated with famine and instability, though regional arts also flourished.	["egypt-history","manual-extraction","no-coords-found"]
egypt-middle-kingdom	Middle Kingdom	[]	-2055	0	0	-1650	0	0	c. 2055 BCE (Mentuhotep II reunifies)	c. 1650 BCE (Hyksos takeover)	gregorian	20	historical_period	manual	A period of reunification, expansion into Nubia, and cultural flourishing; classical Egyptian literature dates to this era, and the pharaohs pursued aggressive trade and military campaigns in the Levant.	["egypt-history","manual-extraction","no-coords-found"]
egypt-second-intermediate	Second Intermediate Period	[]	-1650	0	0	-1550	0	0	c. 1650 BCE (Hyksos establish rule)	1550 BCE (Ahmose I expels Hyksos)	gregorian	20	historical_period	manual	The Hyksos from the Levant ruled Lower Egypt while native dynasties persisted in Upper Egypt and Nubia; the introduction of horse-drawn chariots, composite bows, and bronze weapons transformed Egyptian warfare.	["egypt-history","manual-extraction","no-coords-found"]
egypt-new-kingdom	New Kingdom	[]	-1550	0	0	-1070	0	0	1550 BCE (Ahmose I expels Hyksos)	c. 1070 BCE (Dynasty 20 ends)	gregorian	10	historical_period	manual	Egypt's imperial zenith: pharaohs including Thutmose III, Akhenaten, and Ramesses II extended rule into Nubia and the Levant, constructed Karnak and Abu Simbel, and fought the Hittites at Kadesh.	["egypt-history","manual-extraction","no-coords-found"]
egypt-third-intermediate	Third Intermediate Period	[]	-1070	0	0	-664	0	0	c. 1070 BCE	664 BCE (Psamtik I unifies under Saite Dynasty)	gregorian	10	historical_period	manual	A period of political fragmentation with rival dynasties in the Delta and Libyan and Nubian rulers holding power at various times; Egypt's imperial reach contracted significantly.	["egypt-history","manual-extraction","no-coords-found"]
egypt-late-period	Late Period	[]	-664	0	0	-332	0	0	664 BCE (Saite Dynasty)	332 BCE (Alexander the Great conquers Egypt)	gregorian	5	historical_period	manual	A final era of native and Persian pharaonic rule, marked by the Saite Renaissance of classical art, two Persian occupations, and Egyptian attempts to maintain independence against the Achaemenid Empire.	["egypt-history","manual-extraction","no-coords-found"]
egypt-achaemenid	Achaemenid Egypt	[]	-525	0	0	-332	0	0	525 BCE (Cambyses II conquers Egypt)	332 BCE (Alexander arrives)	gregorian	0	historical_period	manual	Egypt as a satrapy of the Achaemenid Persian Empire, interrupted by a period of renewed native rule (404–343 BCE); Persian rulers were recognised as pharaohs but rule was often resented.	["egypt-history","manual-extraction","no-coords-found"]
egypt-ptolemaic	Ptolemaic Kingdom	[]	-305	0	0	-30	0	0	305 BCE (Ptolemy I takes royal title)	30 BCE (Cleopatra VII dies; Roman annexation)	gregorian	0	historical_period	manual	A Macedonian Greek dynasty that ruled Egypt for nearly three centuries; Alexandria became the world's foremost centre of learning, and the Ptolemies adopted pharaonic titulature while ruling in Greek.	["egypt-history","manual-extraction","no-coords-found"]
egypt-roman	Roman Egypt	[]	-30	0	0	395	0	0	30 BCE (Octavian annexes Egypt)	395 CE (formal division of Roman Empire)	gregorian	0	historical_period	manual	Egypt as a Roman province — grain basket of the empire — characterised by significant Greek and Jewish populations, the spread of Christianity, and continued use of hieroglyphs into the fourth century CE.	["egypt-history","manual-extraction","no-coords-found"]
egypt-byzantine	Byzantine Egypt	[]	395	0	0	641	0	0	395 CE (Eastern Roman Empire)	641 CE (Arab conquest of Alexandria)	gregorian	0	historical_period	manual	Egypt under Eastern Roman / Byzantine administration, dominated by Coptic Christianity, fierce theological disputes, and Sasanid Persian occupation (619–629 CE) before the Arab Islamic conquest.	["egypt-history","manual-extraction","no-coords-found"]
egypt-early-islamic	Early Islamic Egypt	[]	641	0	0	969	0	0	641 CE (Rashidun Arab conquest)	969 CE (Fatimid conquest)	gregorian	0	historical_period	manual	Egypt under successive caliphates — Rashidun, Umayyad, and Abbasid — during which Arabic replaced Greek and Coptic in administration and Islam gradually became the majority religion.	["egypt-history","manual-extraction","no-coords-found"]
egypt-fatimid	Fatimid Caliphate in Egypt	[]	969	0	0	1171	0	0	969 CE (Jawhar al-Siqilli founds Cairo)	1171 CE (Saladin dissolves Fatimid caliphate)	gregorian	0	historical_period	manual	An Ismaili Shia caliphate that founded Cairo (al-Qahira) and built Al-Azhar mosque and university; Egypt became one of the wealthiest and most cultured states of the medieval world.	["egypt-history","manual-extraction","no-coords-found"]
egypt-ayyubid	Ayyubid Sultanate	[]	1171	0	0	1250	0	0	1171 CE (Saladin seizes power)	1250 CE (Mamluks overthrow last Ayyubid)	gregorian	0	historical_period	manual	Founded by Saladin, the Ayyubid sultanate reunified Egypt and Syria, recaptured Jerusalem from the Crusaders in 1187, and became the foremost military power in the medieval Middle East.	["egypt-history","manual-extraction","no-coords-found"]
egypt-mamluk	Mamluk Sultanate	[]	1250	0	0	1517	0	0	1250 CE (Mamluks seize power)	1517 CE (Ottoman conquest)	gregorian	0	historical_period	manual	A sultanate ruled by military slaves who defeated the Mongols at Ain Jalut (1260) and expelled the last Crusader strongholds; Cairo was the cultural and commercial capital of the Arab world.	["egypt-history","manual-extraction","no-coords-found"]
egypt-ottoman	Ottoman Egypt	[]	1517	0	0	1798	0	0	1517 CE (Selim I conquers Egypt)	1798 CE (Napoleon's expedition)	gregorian	0	historical_period	manual	Egypt as an Ottoman province, nominally under a pasha but effectively governed by Mamluk beys; the country declined economically relative to its medieval peak but remained an important trade corridor.	["egypt-history","manual-extraction","no-coords-found"]
egypt-muhammad-ali	Muhammad Ali Dynasty / Khedivate	[]	1805	0	0	1952	0	0	1805 CE (Muhammad Ali seizes power)	1952 CE (Free Officers revolution)	gregorian	0	historical_period	manual	An Albanian-Ottoman dynasty that modernised Egypt, built the Suez Canal (1869), and eventually came under British occupation (1882–1922); Egypt gained formal independence in 1922 but British influence persisted.	["egypt-history","manual-extraction","no-coords-found"]
egypt-republic	Republic of Egypt	[]	1952	0	0	2026	0	0	1952 CE (Free Officers overthrow the monarchy)	present	gregorian	0	historical_period	manual	A presidential republic founded after the 1952 revolution; Nasser nationalised the Suez Canal, Egypt led pan-Arab nationalism, fought multiple Arab-Israeli wars, and signed a peace treaty with Israel in 1979.	["egypt-history","manual-extraction","no-coords-found"]
